Unnamed: 0,Title,Author,Published,Link
15,Efficacy assessment of superficial temporal artery-middle cerebral artery bypass surgery in treating moyamoya disease from a hemodynamic perspective: a pilot study using computational modeling and perfusion imaging,"Liu, H.",Mar-23,https://pureportal.coventry.ac.uk/en/publications/efficacyassessment-of-superficial-temporal-artery-middle-cerebral
16,Enhancing System Performance through Objective Feature Scoring of Multiple Persons’ Breathing Using Non-Contact RF Approach,"Shah, S. A.",Feb-23,https://pureportal.coventry.ac.uk/en/publications/enhancing-system-performance-through-objective-feature-scoring-of
17,Evaluating the effect of digital game‐based nutrition education on anemia indicators in adolescent girls: A randomized clinical trial,"Clark, C. C. T.",Feb-23,https://pureportal.coventry.ac.uk/en/publications/evaluating-the-effect-of-digital-gamebased-nutrition-education-on
18,Exploring the extent of mental health practice: Content and cluster analysis of techniques used in HIV Testing and Counselling sessions in Uganda,"Clark, C.",1-Feb-23,https://pureportal.coventry.ac.uk/en/publications/exploring-the-extent-of-mental-health-practice-content-and-cluste
19,Female infertility caused by organophosphates: an insight into the latest biochemical and histomorphological findings,"Clark, C. C. T.",2-Jan-23,https://pureportal.coventry.ac.uk/en/publications/female-infertility-caused-by-organophosphates-an-insight-into-the
20,"Folic acid supplementation and blood pressure: a GRADE-assessed systematic review and dose-response meta-analysis of 41,633 participants","Clark, C. C. T.",19-May-23,https://pureportal.coventry.ac.uk/en/publications/folic-acid-supplementation-and-blood-pressure-a-grade-assessed-sy
21,High intake of dietary phytochemical index may be related to reducing risk of diabetic nephropathy: a case–control study,"Clark, C. C. T.",Dec-23,https://pureportal.coventry.ac.uk/en/publications/high-intake-of-dietary-phytochemical-index-may-be-related-to-redu
22,Human-in-the-loop machine learning with applications for population health,"Chen, L.",Mar-23,https://pureportal.coventry.ac.uk/en/publications/human-in-the-loop-machine-learning-with-applications-for-populati
23,"Is camouflaging autistic traits associated with defeat, entrapment and suicidal thoughts? Expanding the Integrated Motivational-Volitional Model of Suicide","Pelton, M.",2-May-23,https://pureportal.coventry.ac.uk/en/publications/is-camouflaging-autistic-traits-associated-with-defeat-entrapment
24,"""Is it time to throw out the weighing scales?"" Implicit weight bias among healthcare professionals working in bariatric surgery services and their attitude towards non-weight focused approaches","Abbott, S.",Jan-23,https://pureportal.coventry.ac.uk/en/publications/is-it-time-to-throw-out-the-weighing-scales-implicit-weight-bias-
25,Leadless pacemaker implantation and azygos continuation in the inferior vena cava: a case description,"Liu, H.",1-Apr-23,https://pureportal.coventry.ac.uk/en/publications/leadless-pacemaker-implantation-and-azygos-continuation-in-the-in
26,Listening to music during a repeated sprint test improves performance and psychophysiological responses in healthy and physically active male adults,"Clark, C. C. T.",21-Feb-23,https://pureportal.coventry.ac.uk/en/publications/listening-to-music-during-a-repeated-sprint-test-improves-perform
27,Mediators of dietary diversity score (DDS) on NAFLD in Iranian adults: a structural equation modeling study,"Clark, C. C. T.",Mar-23,https://pureportal.coventry.ac.uk/en/publications/mediators-of-dietary-diversity-score-dds-on-nafld-in-iranian-adul
28,Mobile and wearable systems for health monitoring,"Zheng, D.",20-Apr-23,https://pureportal.coventry.ac.uk/en/publications/mobile-and-wearable-systems-for-health-monitoring
29,Needs of parents and carers of children and young people with mental health difficulties:  protocol for a systematic review,"Dahmash, D.",16-Feb-23,https://pureportal.coventry.ac.uk/en/publications/needs-of-parents-and-carers-of-children-and-young-people-with-men
30,Oral vitamin D supplementation and body weight in children and adolescents: a systematic review and meta-analysis of randomized controlled trials,"Clark, C. C. T.",May-23,https://pureportal.coventry.ac.uk/en/publications/oral-vitamin-d-supplementation-and-body-weight-in-children-and-ad
31,Perceived Support from Best Friends and Depressive Symptoms During Adolescence: Disentangling Personal from Dyadic Level Effects:  Disentangling Individual from Dyadic Level Effects,"Bul, K.",Apr-23,https://pureportal.coventry.ac.uk/en/publications/perceived-support-from-best-friends-and-depressive-symptoms-durin
32,Physical activity and asthma symptom control in children during COVID-19 lockdown: A feasibility study,"Whelan, M. E.",20-Feb-23,https://pureportal.coventry.ac.uk/en/publications/physical-activity-and-asthma-symptom-control-in-children-during-c
33,Predictive Value of CT Perfusion in Hemorrhagic Transformation after Acute Ischemic Stroke: A Systematic Review and Meta-Analysis,"Liu, H.",16-Jan-23,https://pureportal.coventry.ac.uk/en/publications/predictive-value-of-ct-perfusion-in-hemorrhagic-transformation-af
34,Preferences for Digital Intervention in People with Schizophrenia,"Sari, S. P.",2023,https://pureportal.coventry.ac.uk/en/publications/preferences-for-digital-intervention-in-people-with-schizophrenia
35,PresSafe: Barometer-based On-screen Pressure Assisted Implicit Authentication for Smartphones,"Wang, J.",1-Jan-23,https://pureportal.coventry.ac.uk/en/publications/pressafe-barometer-based-on-screen-pressure-assisted-implicit-aut
36,Profiling the Biomechanical Responses to Workload on the Human Myocyte to Explore the Concept of Myocardial Fatigue and Reversibility: Rationale and Design of the POWER Heart Failure Study,"Tran, P.",1-May-23,https://pureportal.coventry.ac.uk/en/publications/profiling-the-biomechanical-responses-to-workload-on-the-human-my
37,Psychological Therapies for Severe Mental Health Problems. Training Delivery Evaluation,"Kneafsey, R.",16-Jan-23,https://pureportal.coventry.ac.uk/en/publications/psychological-therapies-for-severe-mental-health-problems-trainin
38,Real-Time Evaluation of Time-Domain Pulse Rate Variability Parameters in Different Postures and Breathing Patterns Using Wireless Photoplethysmography Sensor: Towards Remote Healthcare in Low-Resource Communities,"Liu, H.",24-Apr-23,https://pureportal.coventry.ac.uk/en/publications/real-time-evaluation-of-time-domain-pulse-rate-variability-parame
39,Remote maintenance cardiac rehabilitation (MAINTAIN): A protocol for a randomised feasibility study,"Denton, F.",15-Feb-23,https://pureportal.coventry.ac.uk/en/publications/remote-maintenance-cardiac-rehabilitation-maintain-a-protocol-for
40,Resveratrol May Mildly Improve Renal Function in the General Adult Population: A Systematic Review and Meta-analysis of Randomized Controlled Clinical Trials,"Clark, C. C. T.",May-23,https://pureportal.coventry.ac.uk/en/publications/resveratrol-may-mildly-improve-renal-function-in-the-general-adul
41,Risk stratification in symptomatic intracranial atherosclerotic disease with conventional vascular risk factors and cerebral haemodynamics,"Liu, H.",Feb-23,https://pureportal.coventry.ac.uk/en/publications/risk-stratification-in-symptomatic-intracranial-atherosclerotic-d
42,Spiritual Care within Dietetic Practice: A Systematic Literature Review,"Lycett, D.",Apr-23,https://pureportal.coventry.ac.uk/en/publications/spiritual-care-within-dietetic-practice-a-systematic-literature-r
43,The association between dietary acid load and risk of attention-deficit hyperactivity disorder: a case-control study,"Clark, C. C. T.",3-Apr-23,https://pureportal.coventry.ac.uk/en/publications/the-association-between-dietary-acid-load-and-risk-of-attention-d
44,The Association between Dietary Patterns and Chemotherapy Side Effects in Patients with Breast Cancer (BrCa),"Clark, C. C. T.",16-Mar-23,https://pureportal.coventry.ac.uk/en/publications/the-association-between-dietary-patterns-and-chemotherapy-side-ef
45,The association between fatty acid quality indices and quality of life among overweight and obese women: A cross-sectional study,"Clark, C. C. T.",26-Jan-23,https://pureportal.coventry.ac.uk/en/publications/the-association-between-fatty-acid-quality-indices-and-quality-of
46,The association between glycemic index and glycemic load and quality of life among overweight and obese women: a cross-sectional study,"Clark, C. C. T.",13-Feb-23,https://pureportal.coventry.ac.uk/en/publications/the-association-between-glycemic-index-and-glycemic-load-and-qual
47,The association between healthy beverage index and quality of life among overweight and obese women:  a cross-sectional study,"Clark, C. C. T.",26-Jan-23,https://pureportal.coventry.ac.uk/en/publications/the-association-between-healthy-beverage-index-and-quality-of-lif
48,The association of dietary approaches to stop hypertension (DASH) with the odds of diabetic nephropathy and metabolic markers in women: a case–control study,"Clark, C. C. T.",12-Feb-23,https://pureportal.coventry.ac.uk/en/publications/the-association-of-dietary-approaches-to-stop-hypertension-dash-w
49,The effect of 8 weeks of child designed vs teacher designed games on physical fitness and creativity in children 8–10 years,"Clark, C. C. T.",1-Feb-23,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-8-weeks-of-child-designed-vs-teacher-designed-games
50,The effect of acorn muffin consumption on glycemic indices and lipid profile in type 2 diabetic patients: A randomized double‐blind placebo‐controlled clinical trial,"Clark, C. C. T.",Feb-23,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-acorn-muffin-consumption-on-glycemic-indices-and-li
51,"The effect of a low renal acid load diet on blood pressure, lipid profile, and blood glucose indices in patients with type 2 diabetes: a randomized clinical trial","Clark, C. C. T.",Dec-23,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-a-low-renal-acid-load-diet-on-blood-pressure-lipid-
52,The effect of a low versus high sodium diet on blood pressure in diabetic patients: A systematic review and meta‐analysis of clinical trials,"Clark, C. C. T.",Apr-23,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-a-low-versus-high-sodium-diet-on-blood-pressure-in-
53,The effect of Mediterranean diet on inflammatory biomarkers and components of metabolic syndrome in adolescent girls,"Clark, C. C. T.",16-Feb-23,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-mediterranean-diet-on-inflammatory-biomarkers-and-c
54,The effects of adjunctive treatment with l -carnitine on monitoring laboratory variables in ICU patients: a double-blinded randomized controlled clinical trial,"Clark, C. C. T.",3-Jan-23,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-adjunctive-treatment-with-l-carnitine-on-monitorin
55,"The effects of a soccer season on anthropometric characteristics, physical fitness, and soccer skills in North African elite female youth soccer players","Clark, C. C. T.",7-Jun-23,https://pureportal.coventry.ac.uk/en/publications/les-effets-dune-saison-de-football-sur-les-caract%C3%A9ristiques-anthr
56,The effects of folic acid supplementation on depression in adults: a systematic review and meta-analysis of randomized controlled trials,"Clark, C. C. T.",28-Feb-23,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-folic-acid-supplementation-on-depression-in-adults
57,The effects of folic acid supplementation on endothelial function in adults: a systematic review and dose-response meta-analysis of randomized controlled trials,"Clark, C. C. T.",24-Feb-23,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-folic-acid-supplementation-on-endothelial-function
58,"The effects of guar gum supplementation on lipid profile in adults: a GRADE-assessed systematic review, meta-regression and dose-response meta-analysis of randomised placebo-controlled trials","Clark, C. C. T.",28-May-23,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-guar-gum-supplementation-on-lipid-profile-in-adult
59,The Good Behaviour Game: Maintaining students’ physical distancing in physical education classes during the COVID-19 pandemic,"Clark, C. CT.",Mar-23,https://pureportal.coventry.ac.uk/en/publications/the-good-behaviour-game-maintaining-students-physical-distancing-
60,The impact of sport-discipline and sex on physical fitness and bone markers in athletes,"Clark, C. C. T.",17-Feb-23,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-sport-discipline-and-sex-on-physical-fitness-and-bo
61,The interaction between MC4R gene variant (rs17782313) and dominant dietary patterns on depression in obese and overweight women: a cross sectional study,"Clark, C. C. T.",Dec-23,https://pureportal.coventry.ac.uk/en/publications/the-interaction-between-mc4r-gene-variant-rs17782313-and-dominant
62,The long-term effects of Kerala Diabetes Prevention Program on diabetes incidence and cardiometabolic risk: a study protocol,"Tapp, R.",22-Mar-23,https://pureportal.coventry.ac.uk/en/publications/the-long-term-effects-of-kerala-diabetes-prevention-program-on-di
63,The moderating role of Co-rumination on the Association between Friend Support and Adolescent emotional Distress,"Bul, K.",31-Jan-23,https://pureportal.coventry.ac.uk/en/publications/the-moderating-role-of-co-rumination-on-the-association-between-f
64,The problem-solving method: Efficacy for learning and motivation in the field of physical education,"Clark, C. C. T.",25-Jan-23,https://pureportal.coventry.ac.uk/en/publications/the-problem-solving-method-efficacy-for-learning-and-motivation-i
65,The relationship between dietary nutrients patterns and intensity and duration of migraine headaches,"Clark, C. C. T.",28-Mar-23,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-dietary-nutrients-patterns-and-intensity
66,The relationship between diet quality indices and odds of breast cancer in women: a case–control study,"Clark, C. C. T.",7-Mar-23,https://pureportal.coventry.ac.uk/en/publications/the-relationship-between-diet-quality-indices-and-odds-of-breast-
67,The role of anxiety and depression in suicidal thoughts for autistic and non‐autistic people: A theory‐driven network analysis,"Pelton, M.",12-Jun-23,https://pureportal.coventry.ac.uk/en/publications/the-role-of-anxiety-and-depression-in-suicidal-thoughts-for-autis
68,Variation and outcomes of liver-reducing dietary regimens before bariatric surgery: a national retrospective cohort study,"Abbott, S.",Feb-23,https://pureportal.coventry.ac.uk/en/publications/variation-and-outcomes-of-liver-reducing-dietary-regimens-before-
69,Views and Experiences of Healthcare Practitioners Supporting People with Copd Who Have Used Activity Monitors: “More than Just Steps”,"Wilde, L.",12-Jun-23,https://pureportal.coventry.ac.uk/en/publications/views-and-experiences-of-healthcare-practitioners-supporting-peop
70,Accessing specialist support to stop smoking in pregnancy: A qualitative study exploring engagement with UK-based stop smoking services,,Sep-22,https://pureportal.coventry.ac.uk/en/publications/accessing-specialist-support-to-stop-smoking-in-pregnancy-a-quali
71,Acute paediatric inpatient care of children and young people admitted with self-harm or eating disorders:  A single centre evaluation,"Turner, A.",15-Jun-22,https://pureportal.coventry.ac.uk/en/publications/acute-paediatric-inpatient-care-of-children-and-young-people-admi
72,A daytime 40-min nap opportunity after a simulated late evening soccer match reduces the perception of fatigue and improves 5-m shuttle run performance,"Clark, C. C. T.",2022,https://pureportal.coventry.ac.uk/en/publications/a-daytime-40-min-nap-opportunity-after-a-simulated-late-evening-s
73,Adolescent transport and unintentional injuries: a systematic analysis using the Global Burden of Disease Study 2019,,Dec-22,https://pureportal.coventry.ac.uk/en/publications/adolescent-transport-and-unintentional-injuries-a-systematic-anal
74,"Age–sex differences in the global burden of lower respiratory infections and risk factors, 1990–2019: results from the Global Burden of Disease Study 2019",,Nov-22,https://pureportal.coventry.ac.uk/en/publications/agesex-differences-in-the-global-burden-of-lower-respiratory-infe
75,A Green Stackelberg-game Incentive Mechanism for Multi-service Exchange in Mobile Crowdsensing,"Wang, J.",31-May-22,https://pureportal.coventry.ac.uk/en/publications/a-green-stackelberg-game-incentive-mechanism-for-multi-service-ex
76,AI-Driven Lightweight Real-Time SDR Sensing System for Anomalous Respiration Identification using Ensemble Learning,"Shah, S. A.",Dec-22,https://pureportal.coventry.ac.uk/en/publications/ai-driven-lightweight-real-time-sdr-sensing-system-for-anomalous-
77,A preliminary observation on rod cell photobiomodulation in treating diabetic macular edema,"Liu, H.",26-Apr-22,https://pureportal.coventry.ac.uk/en/publications/a-preliminary-observation-on-rod-cell-photobiomodulation-in-treat
78,A Qualitative Content Analysis of Online Public Mental Health Resources for COVID-19,,24-Feb-22,https://pureportal.coventry.ac.uk/en/publications/a-qualitative-content-analysis-of-online-public-mental-health-res
79,A randomized triple-blind controlled clinical trial evaluation of sitagliptin in the treatment of patients with non-alcoholic fatty liver diseases without diabetes,"Clark, C. C. T.",28-Jul-22,https://pureportal.coventry.ac.uk/en/publications/a-randomized-triple-blind-controlled-clinical-trial-evaluation-of
80,Are there any interactions between modified Nordic-style diet score and MC4R polymorphism on cardiovascular risk factors among overweight and obese women? A cross-sectional study,"Clark, C. C. T.",1-Sep-22,https://pureportal.coventry.ac.uk/en/publications/are-there-any-interactions-between-modified-nordic-style-diet-sco
81,Assessing hemodynamics from the photoplethysmogram to gain insights into vascular age: a review from VascAgeNet,"Allen, J.",1-Apr-22,https://pureportal.coventry.ac.uk/en/publications/assessing-hemodynamics-from-the-photoplethysmogram-to-gain-insigh
82,Assessment of Clinical Information Quality in Digital Health Technologies: International eDelphi Study,,6-Dec-22,https://pureportal.coventry.ac.uk/en/publications/assessment-of-clinical-information-quality-in-digital-health-tech
83,Association of Physical Activity with Anthropometrics Variables and Health-Related Risks in Healthy Male Smokers,"Clark, C. C. T.",7-Jun-22,https://pureportal.coventry.ac.uk/en/publications/association-of-physical-activity-with-anthropometrics-variables-a
84,"Associations between adherence to the MIND diet and prevalence of psychological disorders, and sleep disorders severity among obese and overweight women: A cross-sectional study","Clark, C. CT.",21-Sep-22,https://pureportal.coventry.ac.uk/en/publications/associations-between-adherence-to-the-mind-diet-and-prevalence-of
85,"Associations between Fundamental Movement Skills, Physical Fitness, Motor Competency, Physical Activity, and Executive Functions in Pre-School Age Children: A Systematic Review","Clark, C.",Jul-22,https://pureportal.coventry.ac.uk/en/publications/associations-between-fundamental-movement-skills-physical-fitness
86,Automated Grading of Diabetic Macular Edema Using Color Retinal Photographs,"Shah, S. A.",May-22,https://pureportal.coventry.ac.uk/en/publications/automated-grading-of-diabetic-macular-edema-using-color-retinal-p
87,A Wearable Swallowing Recognition System Based on Motion and Dual Photoplethysmography Sensing of Laryngeal Movements,"Liu, H.",8-Sep-22,https://pureportal.coventry.ac.uk/en/publications/a-wearable-swallowing-recognition-system-based-on-motion-and-dual
88,Bariatric Surgery and COVID-19: What We Have Learned from the Pandemic in Iran: a Retrospective Observational Cohort Study,"Clark, C. C. T.",Jan-22,https://pureportal.coventry.ac.uk/en/publications/bariatric-surgery-and-covid-19-what-we-have-learned-from-the-pand
89,"Body Mass Index and Risk of Parkinson, Alzheimer, Dementia, and Dementia mortality: A Systematic Review and Dose-response Meta-analysis of Cohort Studies Among 5 Million Participants","Clark, C.",4-Mar-22,https://pureportal.coventry.ac.uk/en/publications/body-mass-index-and-risk-of-parkinson-alzheimer-dementia-and-deme
90,"Book Pitch article on Photoplethysmography: technology, signal analysis and applications","Allen, J.",25-May-22,https://pureportal.coventry.ac.uk/en/publications/book-pitch-article-on-photoplethysmography-technology-signal-anal
91,"Burden of non-communicable diseases among adolescents aged 10–24 years in the EU, 1990–2019: a systematic analysis of the Global Burden of Diseases Study 2019",,Jun-22,https://pureportal.coventry.ac.uk/en/publications/burden-of-non-communicable-diseases-among-adolescents-aged-1024-y
92,Calcium Activation of Parvalbumin Neurons Induced by Electrical Motor Cortex Stimulation,"Xu, Y.",8-Sep-22,https://pureportal.coventry.ac.uk/en/publications/calcium-activation-of-parvalbumin-neurons-induced-by-electrical-m
93,Can a digital intervention boost resilience in informal networks of survivors of sexual violence?,"West, S.",25-Mar-22,https://pureportal.coventry.ac.uk/en/publications/can-a-digital-intervention-boost-resilience-in-informal-networks-
94,"Cancer Incidence, Mortality, Years of Life Lost, Years Lived With Disability, and Disability-Adjusted Life Years for 29 Cancer Groups From 2010 to 2019: A Systematic Analysis for the Global Burden of Disease Study 2019",,1-Mar-22,https://pureportal.coventry.ac.uk/en/publications/cancer-incidence-mortality-years-of-life-lost-years-lived-with-di
95,Cardiorespiratory fitness is positively associated with both healthy and western dietary pattern in Iranian middle-aged,"Clark, C. C. T.",Oct-22,https://pureportal.coventry.ac.uk/en/publications/cardiorespiratory-fitness-is-positively-associated-with-both-heal
96,Case Report: New Application of a Gufoni Maneuver Variation for Apogeotropic Lateral Semicircular Canal Benign Paroxysmal Positional Vertigo,"Liu, H.",10-Jun-22,https://pureportal.coventry.ac.uk/en/publications/case-report-new-application-of-a-gufoni-maneuver-variation-for-ap
97,Changes of oscillogram envelope maximum with blood pressure and aging: a quantitative observation,"Liu, H.",1-Dec-22,https://pureportal.coventry.ac.uk/en/publications/changes-of-oscillogram-envelope-maximum-with-blood-pressure-and-a
98,Circulating levels of adropin and overweight/obesity: a systematic review and meta-analysis of observational studies,"Clark, C. C. T.",Mar-22,https://pureportal.coventry.ac.uk/en/publications/circulating-levels-of-adropin-and-overweightobesity-a-systematic-
99,Clinical information quality of digital health technologies: protocol for an international eDelphi study,"Wark, P. A.",22-Apr-22,https://pureportal.coventry.ac.uk/en/publications/clinical-information-quality-of-digital-health-technologies-proto
100,Comparison of nutritional supplements for glycemic control in type 2 diabetes: A systematic review and network meta-analysis of randomized trials,"Clark, C. C. T.",Sep-22,https://pureportal.coventry.ac.uk/en/publications/comparison-of-nutritional-supplements-for-glycemic-control-in-typ
101,Conceptualisation and psychometric evaluation of positive psychological outcome measures used in adolescents and young adults living with HIV: a mixed scoping and systematic review protocol,,21-Sep-22,https://pureportal.coventry.ac.uk/en/publications/conceptualisation-and-psychometric-evaluation-of-positive-psychol
102,"CORRECTED ARTICLE: Effect of Dietary Potassium Restriction on Serum Potassium, Disease Progression, and Mortality in Chronic Kidney Disease: A Systematic Review and Meta-Analysis","Lycett, D.",Jan-22,https://pureportal.coventry.ac.uk/en/publications/corrected-article-effect-of-dietary-potassium-restriction-on-seru
103,CrowdManager: An Ontology-Based Interaction and Management Middleware for Heterogeneous Mobile Crowd Sensing,"Wang, J.",18-Aug-22,https://pureportal.coventry.ac.uk/en/publications/crowdmanager-an-ontology-based-interaction-and-management-middlew
104,"Cytogenotoxic evaluation of the acetonitrile extract, citrinin and dicitrinin-A from Penicillium citrinum","Clark, C. C. T.",4-Mar-22,https://pureportal.coventry.ac.uk/en/publications/cytogenotoxic-evaluation-of-the-acetonitrile-extract-citrinin-and
105,Data portability for activities of daily living and fall detection in different environments using radar micro-doppler,"Shah, S. A.",May-22,https://pureportal.coventry.ac.uk/en/publications/data-portability-for-activities-of-daily-living-and-fall-detectio
106,DBGC: Dimension-Based Generic Convolution Block for Object Recognition,"Shah, S. A.",24-Feb-22,https://pureportal.coventry.ac.uk/en/publications/dbgc-dimension-based-generic-convolution-block-for-object-recogni
107,Design and Evaluation of a Button Sensor Antenna for On-Body Monitoring Activity in Healthcare Applications,"Shah, S. A.",20-Mar-22,https://pureportal.coventry.ac.uk/en/publications/design-and-evaluation-of-a-button-sensor-antenna-for-on-body-moni
108,Design Education does not exist in a vacuum,"Magee, P.",8-Sep-22,https://pureportal.coventry.ac.uk/en/publications/design-education-does-not-exist-in-a-vacuum
109,Developing public transport messaging to provide crowding information during COVID-19: Application of the COM-B model and behaviour change wheel,"Wilde, L. J.",Mar-22,https://pureportal.coventry.ac.uk/en/publications/developing-public-transport-messaging-to-provide-crowding-informa
110,Development of an Intelligent Real-time Multi-Person Respiratory Illnesses Sensing System using SDR Technology,"Shah, S. A.",10-Aug-22,https://pureportal.coventry.ac.uk/en/publications/development-of-an-intelligent-real-time-multi-person-respiratory-
111,Development of an online self-management intervention based on a CBT approach for people with schizophrenia in Indonesia,"Sari, S. P.",2022,https://pureportal.coventry.ac.uk/en/publications/development-of-an-online-self-management-intervention-based-on-a-
112,Development of a Self-Management Intervention for Memory Changes Linked to Androgen Deprivation Therapy for Prostate Cancer,"Turner, A.",26-Jun-22,https://pureportal.coventry.ac.uk/en/publications/development-of-a-self-management-intervention-for-memory-changes-
113,"Diagnostic Value of Chest CT scan for COVID-19 Suspected Cases and Its Compatibility with RT-PCR Method: A Survey from Jiroft, Iran","Clark, C. C. T.",30-Aug-22,https://pureportal.coventry.ac.uk/en/publications/diagnostic-value-of-chest-ct-scan-for-covid-19-suspected-cases-an
114,"Dietary Acid Load (DAL), Glycated Hemoglobin A1c (HbA1c), and Metabolic Syndrome (MeS) Mediate the Association of the Adherence to the Dietary Approaches to Stopping Hypertension (DASH) and Mediterranean Diet (MeD) With Nonalcoholic Fatty Liver Disease","Clark, C. C. T.",7-Jul-22,https://pureportal.coventry.ac.uk/en/publications/dietary-acid-load-dal-glycated-hemoglobin-a1c-hba1c-and-metabolic
115,Different types of screen-based sedentary time and anxiety in adolescents: Video games may be more important,"Clark, C. C. T.",6-Sep-22,https://pureportal.coventry.ac.uk/en/publications/different-types-of-screen-based-sedentary-time-and-anxiety-in-ado
116,Digitally enabled flash glucose monitoring for inpatients with COVID-19: Feasibility and pilot implementation in a teaching NHS Hospital in the UK,"Clark, C. C. T.",7-Jan-22,https://pureportal.coventry.ac.uk/en/publications/digitally-enabled-flash-glucose-monitoring-for-inpatients-with-co
117,Digital Peer-Supported Self-Management Intervention Codesigned by People With Long COVID: Mixed Methods Proof-of-Concept Study,"Wright, H.",14-Oct-22,https://pureportal.coventry.ac.uk/en/publications/digital-peer-supported-self-management-intervention-codesigned-by
118,Does observance of Ramadan affect sleep in athletes and physically active individuals? A systematic review and meta-analysis,"Clark, C. C. T.",Jun-22,https://pureportal.coventry.ac.uk/en/publications/does-observance-of-ramadan-affect-sleep-in-athletes-and-physicall
119,DRaNN_PSO: A deep random neural network with particle swarm optimization for intrusion detection in the industrial internet of things,"Shah, S. A.",Nov-22,https://pureportal.coventry.ac.uk/en/publications/drannpso-a-deep-random-neural-network-with-particle-swarm-optimiz
